date,close
230703,74.65
230705,76.65
230706,76.52
230707,78.47
230710,77.69
230711,79.40
230712,80.11
230713,81.36
230714,79.87
230717,78.50
230718,79.63
230719,79.46
230720,79.64
230721,81.07
230724,82.74
230725,83.64
230726,82.92
230727,84.24
230728,84.99
230731,85.56
230801,84.91
230802,83.20
230803,85.14
230804,86.24
230807,85.34
230808,86.17
230809,87.55
230810,86.40
230811,86.81
230814,86.21
230815,84.89
230816,83.45
230817,84.12
230818,84.80
230821,84.46
230822,84.03
230823,83.21
230824,83.36
230825,84.48
230828,84.42
230829,85.49
230830,85.86
230831,86.86
230901,88.55
230905,90.04
230906,90.60
230907,89.92
230908,90.65
230911,90.64
230912,92.06
230913,91.88
230914,93.70
230915,93.93
230918,94.43
230919,94.34
230920,93.53
230921,93.30
230922,93.27
230925,93.29
230926,93.96
230927,96.55
230928,95.38
230929,95.31
231002,90.71
231003,90.92
231004,85.81
231005,84.07
231006,84.58
231009,88.15
231010,87.65
231011,85.82
231012,86.00
231013,90.89
231016,89.65
231017,89.90
231018,91.50
231019,92.38
231020,92.16
231023,89.83
231024,88.07
231025,90.13
231026,87.93
231027,90.48
231030,87.45
231031,87.41
231101,84.63
231102,86.85
231103,84.89
231106,85.18
231107,81.61
231108,79.54
231109,80.01
231110,81.43
231113,82.52
231114,82.47
231115,81.18
231116,77.42
231117,80.61
231120,82.32
231121,82.45
231122,81.96
231123,81.37
231124,80.58
231127,79.98
231128,81.68
231129,83.10
231130,82.83
231201,78.88
231204,78.03
231205,77.20
231206,74.30
231207,74.05
231208,75.84
231211,76.03
231212,73.24
231213,74.26
231214,76.61
231215,76.55
231218,77.95
231219,79.23
231220,79.70
231221,79.39
231222,79.07
231226,81.07
231227,79.65
231228,78.39
231229,77.04
240102,75.89
240103,78.25
240104,77.59
240105,78.76
240108,76.12
240109,77.59
240110,76.80
240111,77.41
240112,78.29
240116,78.29
240117,77.88
240118,79.10
240119,78.56
240122,80.06
240123,79.55
240124,80.04
240125,82.43
240126,83.55
240129,82.40
240130,82.87
240131,81.71
240201,78.70
240202,77.33
240205,77.99
240206,78.59
240207,79.21
240208,81.63
240209,82.19
240212,82.00
240213,82.77
240214,81.60
240215,82.86
240216,83.47
240220,82.34
240221,83.03
240222,83.67
240223,81.62
240226,82.53
240227,83.65
240228,83.68
240229,83.62
240301,83.55
240304,82.80
240305,82.04
240306,82.96
240307,82.96
240308,82.08
240311,82.21
240312,81.92
240313,84.03
240314,85.42
240315,85.34
240318,86.89
240319,87.38
240320,85.95
240321,85.78
240322,85.43
240325,86.75
240326,86.25
240327,86.09
240328,87.48
240401,87.42
240402,88.92
240403,89.35
240404,90.65
240405,91.17
240408,90.38
240409,89.42
240410,90.48
240411,89.74
240412,90.45
240415,90.10
240416,90.02
240417,87.29
240418,87.11
240419,87.29
240422,87.00
240423,88.42
240424,88.02
240425,89.01
240426,89.50
240429,88.40
240430,87.86
240501,83.44
240502,83.67
240503,82.96
240506,83.33
240507,83.16
240508,83.58
240509,83.88
240510,82.79
240513,83.36
240514,82.38
240515,82.75
240516,83.27
240517,83.98
240520,83.71
240521,82.88
240522,81.90
240523,81.36
240524,82.12
240528,84.22
240529,83.60
240530,81.86
240531,81.62
240603,78.36
240604,77.52
240605,78.41
240606,79.87
240607,79.62
240610,81.63
240611,81.92
240612,82.60
240613,82.75
240614,82.62
240617,84.25
240618,85.33
240620,85.71
240621,85.24
240624,86.01
240625,85.01
240626,85.25
240627,86.39
240628,86.41
240701,86.60
240702,86.24
240703,87.34
240705,86.54
240708,85.75
240709,84.66
240710,85.08
240711,85.40
240712,85.03
240715,84.85
240716,83.73
240717,85.08
240718,85.11
240719,82.63
240722,82.40
240723,81.01
240724,81.71
240725,82.37
240726,81.13
240729,79.78
240730,78.63
240731,80.72
240801,79.52
240802,76.81
240805,76.30
240806,76.48
240807,78.33
240808,79.16
240809,79.66
240812,82.30
240813,80.69
240814,79.76
240815,81.04
240816,79.68
240819,77.66
240820,77.20
240821,76.05
240822,77.22
240823,79.02
240826,81.43
240827,79.55
240828,78.65
240829,79.94
240830,78.80
240903,73.75
240904,72.70
240905,72.69
240906,71.06
240909,71.84
240910,69.19
240911,70.61
240912,71.97
240913,71.61
240916,72.75
240917,73.70
240918,73.65
240919,74.88
240920,74.49
240923,73.90
240924,75.17
240925,73.46
240926,71.60
240927,71.98
240930,71.77
241001,73.56
241002,73.90
241003,77.62
241004,78.05
241007,80.93
241008,77.18
241009,76.58
241010,79.40
241011,79.04
241014,77.46
241015,74.25
241016,74.22
241017,74.45
241018,73.06
241021,74.29
241022,76.04
241023,74.96
241024,74.38
241025,76.05
241028,71.42
241029,71.12
241030,72.55
241031,73.16
241101,73.10
241104,75.08
241105,75.53
241106,74.92
241107,75.63
241108,73.87
241111,71.83
241112,71.89
241113,72.28
241114,72.56
241115,71.04
241118,73.30
241119,73.31
241120,72.81
241121,74.23
241122,75.17
241125,73.01
241126,72.81
241127,72.83
241129,72.94
241202,71.83
241203,73.62
241204,72.31
241205,72.09
241206,71.12
241209,72.14
241210,72.19
241211,73.52
241212,73.41
241213,74.49
241216,73.91
241217,73.19
241218,73.39
241219,72.88
241220,72.94
241223,72.63
241224,73.58
241226,73.26
241227,74.17
241230,74.39
241231,74.64
250102,75.93
250103,76.51
250106,76.30
250107,77.05
250108,76.16
250109,76.92
250110,79.76
250113,81.01
250114,79.92
250115,82.03
250116,81.29
250117,80.79
250121,79.29
250122,79.00
250123,78.29
250124,78.50
250127,77.08
250128,77.49
250129,76.58
250130,76.87
250131,76.76
250203,75.96
250204,76.20
250205,74.61
250206,74.29
250207,74.66
250210,75.87
250211,77.00
250212,75.18
250213,75.02
250214,74.74
250218,75.84
250219,76.04
250220,76.48
250221,74.43
250224,74.78
250225,73.02
250226,72.53
250227,74.04
250228,73.18
250303,71.62
250304,71.04
250305,69.30
250306,69.46
250307,70.36
250310,69.28
250311,69.56
250312,70.95
250313,69.88
250314,70.58
250317,71.07
250318,70.56
250319,70.78
250320,72.00
250321,72.16
250324,73.00
250325,73.02
250326,73.79
250327,74.03
250328,73.63
250331,74.74
250401,74.49
250402,74.95
250403,70.14
250404,65.58
250407,64.21
250408,62.82
250409,65.48
250410,63.33
250411,64.76
250414,64.88
250415,64.67
250416,65.85
250417,67.96
250421,66.26
250422,67.44
250423,66.12
250424,66.55
250425,66.87
250428,65.86
250429,64.25
250430,63.12
250501,62.13
250502,61.29
250505,60.23
250506,62.15
250507,61.12
250508,62.84
250509,63.91
250512,64.96
250513,66.63
250514,66.09
250515,64.53
250516,65.41
250519,65.54
250520,65.38
250521,64.91
250522,64.44
250523,64.78
250527,64.09
250528,64.90
250529,64.15
250530,63.90
250602,64.63
250603,65.63
250604,64.86
250605,65.34
250606,66.47
250609,67.04
250610,66.87
250611,69.77
250612,69.36
250613,74.23
250616,73.23
250617,76.45
250618,76.70
250620,77.01
250623,71.48
250624,67.14
250625,67.68
250626,67.73
250627,67.77
250630,67.61
250701,67.11
250702,69.11
250703,68.80
250704,68.29
250707,69.58
250708,70.15
250709,70.19
250710,68.64
250711,70.36
250714,69.21
250715,68.71
250716,68.52
250717,69.52
250718,69.28
250721,69.21
250722,68.59
250723,68.51
250724,69.18
250725,68.44
250728,70.04
250729,72.51
250730,73.24
250731,72.53
250801,69.67
250804,68.76
250805,67.64
250806,66.89
250807,66.43
250808,66.59
250811,66.63
250812,66.12
250813,65.63
250814,66.84
250815,65.85
250818,66.60
250819,65.79
250820,66.84
250821,67.67
250822,67.73
250825,68.80
250826,67.22
250827,68.05
250828,68.62
250829,68.12
250902,69.14
250903,67.60
250904,66.99
250905,65.50
250908,66.02
250909,66.39
250910,67.49
250911,66.37
250912,66.99
250915,67.44
250916,68.47
250917,67.95
250918,67.44
250919,66.68
250922,66.57
250923,67.63
250924,69.31
250925,69.42
250926,70.13
250929,67.97
250930,67.02
251001,65.35
251002,64.11
251003,64.53
251006,65.47
251007,65.45
251008,66.25
251009,65.22
251010,62.73
251013,63.32
251014,62.39
251015,61.91
251016,61.06
251017,61.29
251020,61.01
251021,61.32
251022,62.59
251023,65.99
251024,65.94
251027,65.62
251028,64.40
251029,64.92
251030,65.00
251031,65.07
251103,64.89
251104,64.44
251105,63.52
251106,63.38
251107,63.63
251110,64.06
251111,65.16
251112,62.71
251113,63.01
251114,64.39
251117,64.20
251118,64.89
251119,63.51
251120,63.38
251121,62.56
251124,63.37
251125,62.48
251126,63.13
251128,63.20
251201,63.17
251202,62.45
251203,62.67
251204,63.26
251205,63.75
251208,62.49
251209,61.94
251210,62.21
251211,61.28
251212,61.12
251215,60.56
251216,58.92
251217,59.68
251218,59.82
251219,60.47
251222,62.07
251223,62.38
251224,62.24
251226,60.64
251229,61.94
251230,61.92
251231,60.85
260102,60.75
260105,61.76
260106,60.70
260107,59.96
260108,61.99
260109,63.34
260112,63.87
260113,65.47
260114,66.52
260115,63.76
260116,64.13
260120,64.92
260121,65.24
260122,64.06
260123,65.88
260126,65.59
260127,67.57
260128,68.40
260129,70.71
260130,70.69
260202,66.30
260203,67.33
260204,69.46
260205,67.55
260206,68.05
260209,69.04
260210,68.80
260211,69.40
260212,67.52
260213,67.75
260217,67.42
260218,70.35
260219,71.66
260220,71.76
260223,71.49
260224,70.77
260225,70.85
260226,70.75
260227,72.48
260302,77.74
260303,81.40
260304,81.40
260305,85.41
260306,92.69
260309,98.96
260310,87.80
260311,91.98
260312,100.46
260313,103.14
260316,100.21
260317,103.42
260318,107.38
260319,108.65
260320,112.19
260323,99.94
260324,104.49
260325,102.22
260326,108.01
260327,112.57
260330,112.78
260331,118.35
260401,101.16
260402,109.03
260406,109.77
260407,109.27
260408,94.75
260409,95.92
260410,95.20
260413,99.36
260414,94.79
260415,94.93
260416,99.39
260417,90.38
260420,95.48
260421,98.48
260422,101.91
260423,105.07
260424,105.33
260427,108.23
260428,111.26
260429,118.03
260430,114.01
260501,108.17
260504,114.44
260505,109.87
260506,101.27
260507,100.06
260508,101.29
260511,104.21
260512,107.77
260513,105.63
260514,105.72
260515,109.26
260518,112.10
260519,111.28
260520,105.02
260521,102.58
260522,103.54
260526,99.58
260527,94.29
260528,93.71
260529,92.05
260601,94.98
260602,96.00
260603,97.81
260604,95.03
260605,93.09
260608,94.25
260609,91.45
260610,93.10
260611,90.38
260612,87.33
260615,83.17
260616,78.96
260617,79.55
260618,79.85
260622,77.90
260623,77.08
260624,73.74
260625,75.26
260626,71.99
260629,73.15
260630,72.92
260701,71.57
260702,70.51
260703,71.62
260706,71.88
260707,72.74
260708,78.02
260709,78.39
260710,76.58
260713,77.74
260714,87.31
260715,85.43
260716,84.85
260717,85.8
