label,close
19.08 04:00,461.96
19.08 05:00,461.95
19.08 05:30,461.98
19.08 06:00,461.98
19.08 06:30,462.02
19.08 07:00,461.98
19.08 07:30,461.98
19.08 08:00,461.98
19.08 08:30,462.0
19.08 09:00,462.02
19.08 09:30,461.98
19.08 10:00,462.19
19.08 10:30,461.3
19.08 11:00,461.58
19.08 11:30,461.85
19.08 12:00,462.65
19.08 12:30,462.47
19.08 13:00,462.37
19.08 13:30,462.02
19.08 14:00,462.29
19.08 14:30,462.27
19.08 15:00,462.32
19.08 15:30,462.0
19.08 16:00,461.89
19.08 16:30,461.84
19.08 17:00,461.76
19.08 17:30,461.13
19.08 18:00,462.25
19.08 18:30,462.25
19.08 19:00,461.13
19.08 19:30,461.13
19.08 20:00,461.13
19.08 20:30,461.13
19.08 21:00,462.31
19.08 21:30,461.13
19.08 22:00,461.13
19.08 22:30,461.13
19.08 23:00,462.29
19.08 23:30,461.13
20.08 00:00,462.28
20.08 00:30,461.13
20.08 01:00,461.13
20.08 01:30,461.13
20.08 02:00,462.33
20.08 02:30,461.87
20.08 03:00,461.13
20.08 03:30,461.13
20.08 04:00,461.13
20.08 04:30,462.36
20.08 05:00,461.13
20.08 05:30,462.02
20.08 06:00,460.88
20.08 06:30,461.13
20.08 07:00,461.4
20.08 07:30,461.13
20.08 08:00,461.5
20.08 08:30,461.6
20.08 09:00,461.73
20.08 09:30,460.98
20.08 10:00,460.63
20.08 10:30,460.11
20.08 11:00,458.9
20.08 11:30,458.5
20.08 12:00,459.48
20.08 12:30,459.42
20.08 13:00,459.44
20.08 13:30,457.95
20.08 14:00,457.02
20.08 14:30,456.62
20.08 15:00,457.02
20.08 15:30,456.37
20.08 16:00,455.92
20.08 16:30,456.72
20.08 17:00,456.93
20.08 17:30,456.93
20.08 18:00,456.92
20.08 18:30,456.93
20.08 19:00,457.01
20.08 19:30,456.93
20.08 20:00,456.93
20.08 20:30,457.19
20.08 21:00,456.98
20.08 21:30,456.96
20.08 22:00,457.04
20.08 22:30,457.07
20.08 23:00,457.18
20.08 23:30,457.01
21.08 00:00,456.93
21.08 00:30,456.93
21.08 01:00,456.9
21.08 01:30,456.97
21.08 02:00,456.93
21.08 02:30,456.93
21.08 03:00,457.01
21.08 03:30,456.92
21.08 04:00,456.93
21.08 04:30,456.93
21.08 05:00,456.93
21.08 05:30,456.93
21.08 06:00,457.15
21.08 06:30,456.93
21.08 07:00,457.05
21.08 07:30,457.09
21.08 08:00,456.91
21.08 08:30,457.24
21.08 09:00,457.21
21.08 09:30,457.17
21.08 10:00,457.5
21.08 10:30,456.88
21.08 11:00,456.12
21.08 11:30,456.26
21.08 12:00,455.64
21.08 12:30,456.09
21.08 13:00,456.77
21.08 13:30,456.9
21.08 14:00,457.41
21.08 14:30,459.32
21.08 15:00,459.87
21.08 15:30,461.26
21.08 16:00,461.08
21.08 16:30,459.18
21.08 17:00,459.18
21.08 17:30,458.94
21.08 18:00,458.84
21.08 18:30,458.37
21.08 19:00,458.35
21.08 19:30,458.21
21.08 20:00,458.32
21.08 20:30,458.36
21.08 21:00,458.23
21.08 21:30,458.35
21.08 22:00,458.22
21.08 22:30,458.37
21.08 23:00,458.21
21.08 23:30,458.27
22.08 00:00,458.32
22.08 00:30,458.12
22.08 01:00,458.16
22.08 01:30,458.29
22.08 02:00,458.29
24.08 04:00,457.82
24.08 04:30,457.98
24.08 05:00,457.91
24.08 05:30,457.77
24.08 06:00,458.51
24.08 06:30,459.05
24.08 07:00,459.05
24.08 07:30,459.05
24.08 08:00,458.89
24.08 08:30,458.19
24.08 09:00,458.85
24.08 09:30,459.18
24.08 10:00,458.62
24.08 10:30,457.69
24.08 11:00,456.81
24.08 11:30,457.36
24.08 12:00,458.06
24.08 12:30,458.37
24.08 13:00,459.27
24.08 13:30,459.19
24.08 14:00,458.3
24.08 14:30,458.13
24.08 15:00,457.59
24.08 15:30,456.62
24.08 16:00,457.14
24.08 16:30,457.34
24.08 17:00,457.13
24.08 17:30,457.13
24.08 18:00,457.26
24.08 18:30,457.13
24.08 19:00,457.13
24.08 19:30,457.13
24.08 20:00,457.13
24.08 20:30,457.13
24.08 21:00,457.2
24.08 21:30,457.21
24.08 22:00,457.1
24.08 22:30,457.13
24.08 23:00,457.26
24.08 23:30,457.13
25.08 00:00,457.13
25.08 00:30,457.13
25.08 01:00,457.13
25.08 01:30,457.09
25.08 02:00,457.13
25.08 02:30,457.27
25.08 03:00,457.13
25.08 03:30,457.21
25.08 04:00,457.25
25.08 04:30,457.28
25.08 05:00,457.13
25.08 05:30,457.29
25.08 06:00,457.13
25.08 06:30,457.13
25.08 07:00,457.13
25.08 07:30,457.28
25.08 08:00,457.25
25.08 08:30,457.25
25.08 09:00,457.13
25.08 09:30,457.35
25.08 10:00,457.95
25.08 10:30,458.51
