date,official_usd
260630,485.82
260701,480.72
260702,479.26
260703,474.47
260704,472.03
260705,472.03
260706,472.03
260707,472.03
260708,471.04
260709,467.98
260710,467.41
260711,464.71
260712,464.71
260713,464.71
260714,477.11
260715,468.88
260716,469.71
260717,472.34
260718,469.83
260719,469.83
260720,469.83
260721,470.28
260722,469.59
260723,467.65
260724,465.74
260725,476.07
260726,476.07
260727,476.07
260728,473.4
260729,476.75
260730,477.17
260731,474.63
260801,473.59
260802,473.59
260803,473.59
